MsAuthentication.Startup, declare, IHostingEnvironment
MsAuthentication.Startup, declare, string
MsAuthentication.Startup, declare, bool
MsAuthentication.Startup, access, ConfigurationBuilder
MsAuthentication.Startup, create, ConfigurationBuilder
MsAuthentication.Startup, access, IHostingEnvironment
MsAuthentication.Startup, declare, IServiceCollection
MsAuthentication.Startup, access, IServiceCollection
MsAuthentication.Startup, declare, IApplicationBuilder
MsAuthentication.Startup, declare, ILoggerFactory
MsAuthentication.Startup, access, ILoggerFactory
MsAuthentication.Startup, access, IConfigurationRoot
MsAuthentication.Startup, access, IApplicationBuilder
MsAuthentication.Program, declare, string[]
MsAuthentication.Program, declare, string
MsAuthentication.Program, access, WebHostBuilder
MsAuthentication.Program, create, WebHostBuilder
MsAuthentication.Program, access, System.IO.Directory
MsAuthentication.Controllers.AuthenticateController, extend, Controller
MsAuthentication.Controllers.AuthenticateController, useannotation, Route
MsAuthentication.Controllers.AuthenticateController, declare, bool
MsAuthentication.Controllers.AuthenticateController, useannotation, HttpPost
MsAuthentication.Controllers.AuthenticateController, declare, string
MsAuthentication.Controllers.AuthenticateController, access, MsAuthentication.DAO.UserDAO
MsAuthentication.Controllers.AuthenticateController, declare, string[]
MsAuthentication.Controllers.AuthenticateController, declare, char
MsAuthentication.Controllers.AuthenticateController, access, string
MsAuthentication.Controllers.AuthenticateController, declare, MsAuthentication.Entities.User
MsAuthentication.Controllers.AuthenticateController, create, MsAuthentication.Entities.User
MsAuthentication.Controllers.AuthenticateController, access, MsAuthentication.Entities.User
MsAuthentication.DAO.UserDAO, declare, System.IO.StreamReader
MsAuthentication.DAO.UserDAO, declare, System.IO.FileStream
MsAuthentication.DAO.UserDAO, create, System.IO.FileStream
MsAuthentication.DAO.UserDAO, access, System.IO.FileMode
MsAuthentication.DAO.UserDAO, create, System.IO.StreamReader
MsAuthentication.DAO.UserDAO, declare, System.Exception
MsAuthentication.DAO.UserDAO, declare, string
MsAuthentication.DAO.UserDAO, access, System.Console
MsAuthentication.DAO.UserDAO, access, System.Exception
MsAuthentication.DAO.UserDAO, access, System.IO.StreamReader
MsAuthentication.DAO.UserDAO, declare, string[]
MsAuthentication.DAO.UserDAO, declare, char
MsAuthentication.DAO.UserDAO, access, string
MsAuthentication.Entities.User, declare, string
MsAuthentication.Entities.User, access, MsAuthentication.Entities.User
